year,address.city,address.state,business.name,industry.division,industry.major_group
2003,NASHVILLE,TN,SOUTHWEST AIRLINES CO,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation By Air
2003,WHITING,NJ,DYNAMIC HEALTH MANAGEMENT,Services,Health Services
2003,Venice,FL,Seasonshield Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,Mira Loma,CA,Special Care Childrens Homes,Services,Health Services
2003,Covington,OH,Starbrook Industries Inc,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,KANSAS CITY,MO,SMURFIT-STONE CONTAINER,Manufacturing,Paper And Allied Products
2003,Tulsa,OK,Intercontinental Jet Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation By Air
2003,New York,NY,Classic Sofa Ltd,Manufacturing,Furniture And Fixtures
2003,BEATRICE,NE,HOOVER MATERIALS HANDLING GROUP INC,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,Norwood,MA,Eastern Air Center Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation By Air
2003,Fresno,CA,Baloian Packing Co Inc,"Agriculture, Forestry, And Fishing",Agricultural Production Crops
2003,LONGVIEW,TX,Marion Healthcare Systems Inc,Services,Health Services
2003,Conyers,GA,Care More Management Co Inc,Services,Health Services
2003,SACRAMENTO,CA,Primrose Alzheimers Living,Services,Health Services
2003,Charlotte,NC,Vintage Pharmaceutical Inc,Manufacturing,Chemicals And Allied Products
2003,HORSEHEADS,NY,MT Picture Display Corporation of America (NY),Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment"
2003,Pacoima,CA,Energy Club Inc,Wholesale Trade,Wholesale Trade-non-durable Goods
2003,Monroe,WI,Wisconsin Cheese Group Inc,Manufacturing,Food And Kindred Products
2003,Lynwood,CA,K Watanabe Corporation,Wholesale Trade,Wholesale Trade-durable Goods
2003,Homer,LA,Claiborne Manor Nursing Home,Services,Health Services
2003,DEARBORN HEIGHTS,MI,Radius Health Care System Inc,Services,Health Services
2003,East Earl,PA,Stylecraft Corporation,Manufacturing,Furniture And Fixtures
2003,Lake Worth,FL,Home Depot USA Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,SPRINGDALE,AR,TYSON FOODS INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,Kingston,PA,Manorcare Health Services Inc,Services,Health Services
2003,Ocoee,FL,Groundtek of Central Florida,"Agriculture, Forestry, And Fishing",Agricultural Services
2003,Caro,MI,Plastech Engineered Products,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,Westminster,CO,Western Electronics LLC,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment"
2003,Gastonia,NC,Conner Brothers Machine Co,Manufacturing,Industrial And Commercial Machinery And Computer Equipment
2003,CHARLOTTE,NC,A&E PRODUCTS GROUP INC,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,Morrisville,NC,Quality Sign Systems Inc,Manufacturing,Miscellaneous Manufacturing Industries
2003,Hatfield,PA,Herr Foods Incorporated,Wholesale Trade,Wholesale Trade-non-durable Goods
2003,MENDON,MI,LEAR CORPORATION MENDON,Manufacturing,Transportation Equipment
